Country Name,Country Code,Population 2008
Europe centrale et les pays baltes,CEB,105001883
Asie de l’Est et Pacifique,EAS,2177119142
Union européenne,EUU,439876674
Afrique du Nord et Moyen-Orient,MEA,369823252
Amérique du Nord,NAC,337406357
Asie du Sud,SAS,1592010819
Afrique subsaharienne,SSF,822945457
Monde,WLD,6756917893
Amérique latine et Caraïbes,LCN,576783744
Autres petits états,OSS,24762406
Europe et Asie centrale,ECS,880829122
Afghanistan,AFG,27722276
Afrique du Sud,ZAF,49779471
Albanie,ALB,2947314
Algérie,DZA,34730608
Allemagne,DEU,82110097
Andorre,AND,83862
Angola,AGO,21695634
Antigua-et-Barbuda,ATG,85397
Arabie saoudite,SAU,25888541
Argentine,ARG,40080160
Arménie,ARM,2907618
Aruba,ABW,101358
Australie,AUS,21249200
Autriche,AUT,8321496
Azerbaïdjan,AZE,8763400
Bahamas,BHS,343681
Bahreïn,BHR,1114641
Bangladesh,BGD,144304167
Barbade,BRB,279946
Bélarus,BLR,9527985
Belgique,BEL,10709973
Belize,BLZ,306823
Bénin,BEN,8696921
Bermudes,BMU,65273
Bhoutan,BTN,671613
Bolivie,BOL,9721454
Bosnie-Herzégovine,BIH,3754271
Botswana,BWA,1915639
Brésil,BRA,192030362
Brunéi Darussalam,BRN,379421
Bulgarie,BGR,7492561
Burkina Faso,BFA,14689725
Burundi,BDI,8126102
Cabo Verde,CPV,480842
Cambodge,KHM,13883834
Cameroun,CMR,19252666
Canada,CAN,33247118
Chili,CHL,16708258
Chine,CHN,1324655000
"Chine, RAS de Hong Kong",HKG,6957800
Chypre,CYP,1081563
Cisjordanie et Gaza,PSE,3591977
Colombie,COL,44254972
Comores,COM,657229
"Congo, République démocratique du",COD,60411195
"Congo, République du",COG,4011486
"Corée, République de",KOR,49054708
"Corée, République démocratique de",PRK,24310142
Costa Rica,CRI,4463125
Côte d'Ivoire,CIV,19605569
Croatie,HRV,4309705
Cuba,CUB,11236971
Curacao,CUW,145880
Danemark,DNK,5493621
Djibouti,DJI,816358
Dominique,DMA,70827
"Égypte, République arabe d’",EGY,79636079
El Salvador,SLV,6131764
Émirats arabes unis,ARE,7089487
Équateur,ECU,14535739
Érythrée,ERI,3062779
Espagne,ESP,45954106
Estonie,EST,1337090
Eswatini,SWZ,1049945
États-Unis,USA,304093966
Éthiopie,ETH,82916235
Fédération de Russie,RUS,142742366
Fidji,FJI,845361
Finlande,FIN,5313399
France,FRA,64374984
Gabon,GAB,1518540
Gambie,GMB,1689285
Géorgie,GEO,3848449
Ghana,GHA,23563825
Gibraltar,GIB,33559
Grèce,GRC,11077841
Grenade,GRD,105456
Groenland,GRL,56328
Guam,GUM,159036
Guatemala,GTM,13739299
Guinée,GIN,9738792
Guinée équatoriale,GNQ,860840
Guinée-Bissau,GNB,1446936
Guyane,GUY,746817
Haïti,HTI,9646580
Honduras,HND,7980955
Hongrie,HUN,10038188
Île de Man,IMN,83508
Îles Anglo-Normandes,CHI,156433
Îles Caïmans,CYM,53836
Îles Féroé,FRO,47820
Îles Marshall,MHL,56174
Îles Salomon,SLB,503360
Îles Turques-et-Caïques,TCA,31202
Îles Vierges (EU),VIR,108399
Îles Vierges britanniques,VGB,26097
Inde,IND,1200669765
Indonésie,IDN,235469762
"Iran, République islamique d’",IRN,72120604
Iraq,IRQ,28385746
Irlande,IRL,4489544
Islande,ISL,317414
Israël,ISR,7308800
Italie,ITA,58826731
Jamaïque,JAM,2781876
Japon,JPN,128063000
Jordanie,JOR,6556478
Kazakhstan,KAZ,15674000
Kenya,KEN,39791981
Kiribati,KIR,98761
Kosovo,XKX,1747383
Koweït,KWT,2656009
Lesotho,LSO,1987129
Lettonie,LVA,2177322
Liban,LBN,4764741
Libéria,LBR,3607860
Libye,LBY,6058748
Liechtenstein,LIE,35471
Lituanie,LTU,3198231
Luxembourg,LUX,488650
Macédoine du Nord,MKD,2067313
Madagascar,MDG,19996473
Malaisie,MYS,27236006
Malawi,MWI,13727890
Maldives,MDV,343452
Mali,MLI,14113577
Malte,MLT,409379
Mariannes,MNP,54625
Maroc,MAR,31536811
Maurice,MUS,1244121
Mauritanie,MRT,3296238
Mexique,MEX,110815271
"Micronésie, États fédérés de",FSM,103543
Moldova,MDA,2867964
Monaco,MCO,34872
Mongolie,MNG,2631898
Monténégro,MNE,616969
Mozambique,MOZ,22276596
Myanmar,MMR,49929642
Namibie,NAM,2043394
Nauru,NRU,9891
Népal,NPL,26666576
Nicaragua,NIC,5667432
Niger,NER,15250908
Nigéria,NGA,150269623
Norvège,NOR,4768212
Nouvelle-Calédonie,NCL,242750
Nouvelle-Zélande,NZL,4259800
Oman,OMN,2750963
Ouganda,UGA,30431736
Ouzbékistan,UZB,27302800
Pakistan,PAK,171648986
Palaos,PLW,18704
Panama,PAN,3516204
Papouasie-Nouvelle-Guinée,PNG,6976201
Paraguay,PRY,6081296
Pays-Bas,NLD,16445593
Pérou,PER,28562317
Philippines,PHL,90901965
Pologne,POL,38125759
Polynésie française,PYF,264061
Porto Rico,PRI,3760866
Portugal,PRT,10558177
Qatar,QAT,1436665
"Région administrative spéciale de Macao, Chine",MAC,515239
République arabe syrienne,SYR,20664038
République centrafricaine,CAF,4273366
République démocratique populaire lao,LAO,6046620
République dominicaine,DOM,9458075
République kirghize,KGZ,5318700
République slovaque,SVK,5379233
République tchèque,CZE,10384603
Roumanie,ROU,20537875
Royaume-Uni,GBR,61806995
Rwanda,RWA,9524534
Sainte-Lucie,LCA,170011
Saint-Kitts-et-Nevis,KNA,48178
Saint-Marin,SMR,30434
Saint-Martin (fr),MAF,36885
Saint-Vincent-et-les Grenadines,VCT,108393
Samoa,WSM,183263
Samoa américaines,ASM,57492
Sao Tomé-et-Principe,STP,171120
Sénégal,SEN,12004701
Serbie,SRB,7350222
Seychelles,SYC,86956
Sierra Leone,SLE,6133603
Singapour,SGP,4839396
Sint Maarten (Dutch part),SXM,33964
Slovénie,SVN,2021316
Somalie,SOM,11397188
Soudan,SDN,33060837
Soudan du Sud,SSD,8736939
Sri Lanka,LKA,19983984
Suède,SWE,9219637
Suisse,CHE,7647675
Suriname,SUR,517122
Tadjikistan,TJK,7209930
Taiwan,TWN,
Tanzanie,TZA,41853944
Tchad,TCD,11183588
Thaïlande,THA,66530984
Timor-Leste,TLS,1055431
Togo,TGO,6083420
Tonga,TON,103379
Trinité-et-Tobago,TTO,1314443
Tunisie,TUN,10414433
Turkménistan,TKM,4935767
Turquie,TUR,70418604
Tuvalu,TUV,10314
Ukraine,UKR,46258189
Uruguay,URY,3340221
Vanuatu,VUT,224704
Venezuela,VEN,27635832
Viet Nam,VNM,86243413
"Yémen, Rép. du",YEM,21892146
Zambie,ZMB,12848530
Zimbabwe,ZWE,12379549
